New Per Budget Aprobado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KPIS (ARS),ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sept-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sept-26,oct-26,nov-26,dic-26
,,R&D,"(58.746,2)","(82.895,6)","(91.312,1)","(65.423,1)","(121.562,9)","(88.697,3)","(150.648,4)","(74.379,2)","(76.909,6)","(77.397,8)","(124.552,5)","(129.663,8)","(122.880,9)","(127.108,0)","(122.822,6)","(131.870,5)","(127.627,5)","(143.973,7)","(137.230,2)","(134.130,2)","(129.026,9)","(138.839,1)","(131.836,6)","(131.498,1)"
,,Product,"(19.359,7)","(31.780,0)","(20.822,7)","(23.897,9)","(80.796,6)","(48.485,4)","(40.166,2)","(55.877,8)","(57.527,0)","(56.027,9)","(78.470,3)","(85.310,0)","(72.731,5)","(75.067,4)","(72.516,2)","(78.574,5)","(75.467,7)","(74.809,4)","(82.041,0)","(77.521,9)","(77.130,9)","(83.791,9)","(78.825,6)","(78.580,5)"
,,Development,"(39.386,5)","(51.115,7)","(70.489,4)","(41.525,2)","(40.766,3)","(40.211,9)","(110.482,3)","(18.501,4)","(19.382,6)","(21.369,9)","(46.082,1)","(44.353,8)","(50.149,3)","(52.040,6)","(50.306,4)","(53.296,0)","(52.159,8)","(69.164,3)","(55.189,1)","(56.608,3)","(51.896,1)","(55.047,2)","(53.011,0)","(52.917,5)"
,,Total Costs + Expenses,"(267.383,9)","(304.012,1)","(314.249,7)","(323.476,7)","(383.402,4)","(362.965,8)","(424.242,3)","(313.753,5)","(371.248,4)","(326.907,3)","(390.908,4)","(434.859,0)","(448.979,2)","(452.794,0)","(442.134,8)","(465.562,5)","(455.621,5)","(480.280,0)","(496.655,5)","(481.999,8)","(479.636,4)","(503.874,9)","(487.400,4)","(493.079,8)"
,,EBITDA,"235.437,0","182.919,7","161.956,3","193.439,5","130.000,0","176.897,0","107.116,4","202.887,2","130.713,5","200.985,5","109.045,2","71.807,7","65.325,5","54.826,6","74.853,4","62.617,6","72.181,4","61.432,8","61.460,9","82.815,4","103.280,3","97.574,2","124.578,2","141.408,6"
,,EBITDA %,"46,8%","37,6%","34,0%","37,4%","25,3%","32,8%","20,2%","39,3%","26,0%","38,1%","21,8%","14,2%","12,7%","10,8%","14,5%","11,9%","13,7%","11,3%","11,0%","14,7%","17,7%","16,2%","20,4%","22,3%"
,,% Direct Costs,"13,4%","15,0%","15,4%","18,6%","15,5%","15,0%","17,3%","15,3%","17,0%","17,7%","15,3%","13,9%","16,7%","17,8%","16,3%","16,6%","16,6%","17,9%","18,7%","18,8%","18,2%","18,2%","17,8%","17,5%"
,,% CAC,"12,7%","13,6%","14,8%","13,1%","16,2%","16,4%","14,4%","12,7%","19,5%","12,7%","18,9%","24,1%","25,6%","24,8%","25,1%","25,7%","25,1%","24,5%","24,7%","23,6%","23,0%","23,2%","22,0%","21,2%"
,,% G&A,"15,4%","16,9%","16,6%","18,2%","19,3%","19,4%","19,8%","18,3%","22,2%","16,9%","19,1%","22,2%","21,1%","21,5%","20,4%","20,9%","20,4%","19,7%","20,9%","19,2%","19,0%","19,3%","18,3%","18,3%"
,,% R&D,"11,7%","17,0%","19,2%","12,7%","23,7%","16,4%","28,4%","14,4%","15,3%","14,7%","24,9%","25,6%","23,9%","25,0%","23,8%","25,0%","24,2%","26,6%","24,6%","23,7%","22,1%","23,1%","21,5%","20,7%"
